Denumire,Localitate,Judet,Adresa,Infiintare,Descriere_lunga,Descriere_scurta,Descriere_cladire,Istoric,URL,Director,Profil,SIRUTA,Latitudine,Longitudine,Categorie,LMI,ID
Casa Memorială „Dr. Vasile Lucaciu”,Apa,Satu Mare,nr. 246,1979,Prezintă documente și obiecte evocând viața și activitatea memorandistului transilvănean Vasile Lucaciu (1852 - 1922). Casa țărănească compusă din două camere și tindă. Aici a locuit dr. Vasile Lucaciu în perioada 1885-1914.,Documente și obiecte evocând viața și activitatea memorandistului transilvănean Vasile Lucaciu (1852 - 1922).  Documents and objects illustrating the life and work of the Transylvanian politician Vasile Lucaciu (1852 - 1922).,,,http://www.muzeusm.ro,Liviu Marta,Memoriale - Personalități istorice,136811,47.762992,23.195286,Muzeu județean,SM-II-m-B-05260,522
Muzeul Orășenesc din Tășnad,Tășnad,Satu Mare,Str. N. Iorga nr. 6,1978,"Castelul Cserey-Fischer a fost reconstruit în a doua jumătate a sec. al XVII-lea (1771),vechea clădire având o funcție rezidențială boierească. Funcționează ca muzeu începând cu anul 1978. Sunt valorificate expozițional piese de arheologie: unelte începând cu epoca pietrei șlefuite; etnografie: unelte agricole, textile de interior, costume, ceramică.","Sunt valorificate expozițional piese de arheologie: unelte începând cu epoca pietrei șlefuite; etnografie: unelte agricole, textile de interior, costume, ceramică.  The exhibits include archaeological finds: polished tools from the Stone Age; ethnography",,,http://www.muzeusm.ro,Liviu Marta,"Arheologie preistorică, Etnografie locală, Istorie",136651,47.47737,22.582472,Muzeu județean,SM-II-m-B-05359,523
Muzeul Județean Satu Mare,Satu Mare,Satu Mare,Bd. Dr. Vasile Lucaciu nr. 21,1901,"Clădirea actuală a Muzeului Județean Satu Mare a fost construită în anul 1936, după planurile arhitectului G.P.Liteanu. A avut ințial destinații administrative: Prefectura județului în perioada interbelică, Sediul Consiliului Popular Județean și al Comitetului Județean Satu Mare al P.C.R. Din anul 1984 aici funcționează Muzeul Județean Satu Mare, având organizate expozițiile de bază și sălile de expoziții temporare. Are la bază obiectele adunate în cadrul cercului Kolcsey (1890), muzeul fiind reorganizat în anii 1905 și 1958, pe baza vechilor colecții și a cercetărilor noi. Muzeul deține colecții de arheologie (preistorică, dacică, medievală), istorie (exponate legate de istoria breslelor, unelte, lăzi, sigilii, documente, carte veche, memorialistică), etnografie (instalații țărănești, mobilier tradițional românesc, șvăbesc, ucrainean și maghiar, podoabe, icoane pe sticlă și lemn, costume populare, textile utilitare și decorative, ceramică, fotografii, etc.). Deține bunuri culturale clasate în Tezaur și Fond. Expozițiile de bază au fost modernizate în anul 1992, precum și în perioada 2002-2007.","Istorie: perioada dacilor liberi; materiale de bresle, unelte, lăzi, sigilii, documente, cărți vechi; etnografie: instalații țărănești, mobilier șvăbesc și maghiar, podoabe, icoane pe sticlă și lemn.  The museum exhibits collections of history (guild mat",,"Înființat de cercul Kolcsey, este reorganizat în anii 1950 - 1951, pe baza vechilor colecții și a cercetărilor noi.",http://www.muzeusm.ro; http://www.facebook.com/profile.php?id=100003912883862#!/profile.php?id=100003912883862&sk=photos,Liviu Marta,"Arheologie daco-romană, Arheologie medievală, Etnografie, Istorie",136492,47.792774,22.882319,Muzeu județean,SM-II-m-B-05230,524
Muzeul Municipiului Carei,Carei,Satu Mare,Piața 25 Octombrie nr. 1,1958,"Construcția datează din anul 1482, când s-a ridicat mai întâi o casă întărită.În anul 1592, în fața pericolului turcesc, aceasta se transformă în cetate, cu șanțuri de apărare și bastioane în formă patrulateră. Cetatea este dărâmată în anul 1794 în locul ei fiind ridicat un castel, reședință a nobililor Kàroly. În anul 1894 castelul se reface în forma în care se păstreză și astăzi. Înființat sub numele de Muzeu Raional, devine muzeu orășenesc în 1985 și intră sub administrația Complexului Muzeal Județean. Patrimoniul s-a format prin cercetări și colectări efectuate în zona Carei. Monument de arhitectură, castelul Karoly, în care se află muzeul, a fost construit între anii 1892 - 1894. În prezent se află în restaurare. Sunt expuse unelte, arme, ceramică pictată, un mormânt dublu de înhumație din cultura Otomani; piese de paleontologie, malacologie și ornitologie din zona Careiului.","Sunt expuse unelte, arme, ceramică pictată, un mormânt dublu de înhumație din cultura Otomani; piese de paleontologie, malacologie și ornitologie din zona Careiului.  The exhibits include tools, weapons, painted pottery, a double inhumation tomb of the O","Monument de arhitectură, castelul Karoly, a fost construit între anii 1892 - 1894. În prezent se află în restaurare.","Înființat sub numele de Muzeu Raional, devine Muzeul Orășenesc în 1985 și intră sub administrația Complexului Muzeal Județean. Patrimoniul s-a format prin cercetări și colectări efectuate în zona Carei.",http://www.muzeusm.ro,Liviu Marta,Arheologie preistorică,136535,47.683982,22.466778,Muzeu județean,SM-II-a-A-05280,525
Muzeul Țării Codrului,Măriuș,Satu Mare,,1991,Prezintă obiecte de etnografie și elemente de arhitectură populară.,Etnografie și arhitectură populară.  Ethnography items and folk architecture elements.,,,http://www.muzeusm.ro,Liviu Marta,Etnografie locală,139303,47.718425,23.188402,Muzeu județean,,527
Muzeul Șvăbesc,Petrești,Satu Mare,nr. 405,1993,"Localitatea este situată la 43 km de municipiul Satu Mare, pe drumul DN 19 Satu Mare–Oradea. Casa muzeul este una dintre cele mai reprezentative pentru arhitectura populară șvăbească. Construită în 1881, perpendiculară pe șosea, are o componență de patru camere, două holuri, două bucătării, două pivnițe, casa terminându-se cu un grajd pentru animale. Pe toată lungimea ei are un târnaț sprijinit pe stâlpi de lemn, fixați în tălpi de fontă, iar în partea superioară având ornamente florale traforate. Camerele sunt mobilate cu piese de brad confecționate de meșteri locali, ornamentate prin pictură cu motive florale și vegetale stilizate, specifice șvabilor. Sunt prezentate obiectele utilizate în industria casnică textilă începând de la meliță, pieptene de fuioare, furci de tors, vârtelniță până la război de țesut. În componența gospodăriei se află și ”goreul”, continuat de o construcție de mari dimensiuni, șura care adăpostește utilajele agricole. Colecția muzeală funcționează ca filiala Muzeului Județean Satu Mare.  Szatmárnémetitől 43 km-re a DN-19-es országút Szatmár-Nagyvárad útvonala mentén található. A múzeumház egyike a sváb építészet legreprezentatívabb épületeinek. 1881-ben emelték, az útra merőleges elrendezésben, négy szobája, két előszobája, két konyhája és két pincéje van, hátul egybeépített istállóval. Az épület teljes hosszában tornác fut végig, az öntöttvas talpakra állított fa-oszlopok felső részét virágmotívumokkal díszítették. A szobákat helyi mesteremberek által készített fenyőfa bútorral rendezték be, festett díszítésük a sváb népművészetre jellemző stilizált virág- és növényi motívumokból áll. A kiállított tárgyak között láthatóak a len és kender feldolgozásához és a szőttesek készítéséhez szükséges eszközök: tiloló, gereben, orsók, tekerő, szövőszék. A gazdaság része a kukoricakas (góré) és a nagyméretű csűr, ami a mezőgazdasági gépeknek és eszközöknek ad otthont.","Gospodăria formată din casă, șură și acareturi (1881) prezintă ambianța specifică locuinței șvăbești, oferită de prezența mobilierului tradițional, precum și de elemente decorative. De asemenea sunt prezente obiecte utilizate în industria casnică textilă","Casa care adăpostește muzeul este datată 1881 și este compusă din patru camere, două holuri, o bucătărie și două pivnițe (una pentru păstrarea vinului).",,http://www.muzeusm.ro/petresti/,Liviu Marta,Etnografie,138510,,,Muzeu județean,,723
Muzeul Etnografic Maghiar „Sipos Lászlo”,Bogdand,Satu Mare,nr. 85,1997,"Localitatea este situată la 60 de km de municipiul Satu Mare, în sudul județului, la granița dintre județul Sălaj și Maramureș. Casa este construită în jurul anilor 1880-1885 de meșteri populari din Cristur (jud. Sălaj) fiind transformată în muzeu în anul 1997. Poartă numele fondatorului Sipos László (1948-1997), profesor . Este o casă tipică zonei de la sfârșitul secolului al XIX-lea, construită pentru oameni mai înstăriți. De formă dreptunghiulară, dispusă perpendicular pe stradă, este clădită pe o fundație de cărămizi, combinate cu piatră de rău, pereții groși fiind clădiți din văioage alternate cu cărămidă arsă. Este înconjurată de un târnaț în formă de U, în partea dinspre stradă, pe lungimea casei și în spate, susținut de 14 stălpi de formă octogonală. Componența casei este de 3 încăperi, în primul spațiu se află camera curată cu piesele de mobilier, costume populare și textile. Al doilea spațiu, unde se află intrarea este destinat unei prezentări a istoriei locale. În ultima încăpere se află amenajată o cameră de locuit cu piese de mobilier, obiecte ceramice, piesele folosite la țesut. Colecția muzeală funcționează ca filiala Muzeului Județean Satu Mare.  Bogdánd a megye déli részén, Szilágy és Máramaros megye határán fekszik, Szatmárnémetitől 60 km távolságra. A házat 1880-1885 körül építették szilágyfőkeresztúri (Szilágy megye) mesterek, 1997-ben alakították múzeummá. Nevét alapítójáról, Sipos Lászlóról (1948-1997) kapta. A múzeum ház a Tövishát jellemző épülete e korszakban, ilyen típusú házakat vagyonosabb emberek építettek. Téglalap alakú, az utcafrontra merőlegesen épült, tégla és kő alapra, vastag falait soronként váltakozva húzták fel vályogból, illetve égetett téglából. „U” alakban, három oldalról tornác keretezi, amelyet 14 nyolcszögalakú oszlop tart. A ház három helyiségből áll. Az első bútorokkal, szőttesekkel és népviselettel berendezett tisztaszoba. A második helység a ház bejárata is, itt kapott helyet a helytörténeti kiállítás. A hátulsó helyiség lakószobának van berendezve, bútorokkal, használati tárgyakkal és a szövés eszközeivel.","Casa care adăpostește muzeul a fost construită în jurul anilor 1880 - 1885 de meșteri populari din Cristur, județul Sălaj, și este compusă din două camere dispuse de o parte și de alta a tindei. Pot fi admirate piese de mobilier, ceramică utilitară și de","Casa care adăpostește muzeul a fost construită în jurul anilor 1880 - 1885 de meșteri populari din Cristur, județul Sălaj, și este compusă din două camere dispuse de o parte și de alta a tindei.",,http://www.muzeusm.ro/bogdand/,Liviu Marta,Etnografie,137149,47.415063,22.934474,Muzeu județean,SM-II-m-B-05268,724
Muzeul de Artă din Satu Mare,Satu Mare,Satu Mare,Piața Libertății nr. 21,1969,"Clădirea a fost construită în a doua jumătate a secolului al XIX-lea, în stil neogotic, fiind declarată monument istoric și arhitectural, și cunoscută sub numele de Casa Vécsey. Pe acest teren se afla în secolul al XVIII-lea o clădire ce servea ca depozit Cetății Satu Mare. În 1911 pe clădire a fost montată placa comemorativă a Păcii de la Satu Mare, executată de pictorul Aurel Popp. În 1969 s-a deschis expoziția permanentă, dedicată pictorului sătmărean Aurel Popp (1879 - 1960). În 1985 s-a deschis expoziția de bază ce cuprinde operele artiștilor plastici români din secolul al XX-lea. În anul următor s-a înființat atelierul-galerie ce găzduiește donația graficianului Paul Erdös (1916 - 1987), iar în 1996 s-a deschis Atelierul Memorial Erdös, în sediul din Pasajul Dacia nr. 8, prezentând donația și atelierul de creație al graficianului, spațiul expozițional de aici fiind destinat expozițiilor temporare.  Expozițiile de bază ale muzeului cuprind operele unor personalități artistice reprezentative ale artei plastice românești din secolul XX: Henri Catargi, Dumitru Ghiață, Eustație Stoenescu, Iosif Iser, Corneliu Baba, Aurel Ciupe, Muhy Sándor, Petre Abrudan, Bene József, Ion Sima, Ion Jalea, Ion Irimescu etc. Colecția mai cuprinde lucrări ale unor reprezentanți de seamă ai Centrului artistic de la Baia Mare ca: Ziffer Sándor, Mikola András, Kádár Géza, Eugen Pascu, Mund Hugo etc. Muzeul deține și o bogată colecție de artă plastică contemporană ce cuprinde lucrările unor artiști de prestigiu ca: Ion Sălișteanu, Ion Pacea, Constantin Piliuță, Ion Gheorghiu, Vasile Kazar, Octav Grigorescu, Marcel Chirnoagă, Brăduț Covaliu, Vasile Dobrian etc.","Expozițiile de bază ale muzeului prezintă operele unor personalități artistice reprezentative ale artei plastice românești moderne, lucrări ale unor reprezentanți de seamă ai Centrului artistic de la Baia Mare, o bogată colecție de artă plastică contempo","Clădirea care găzduiește astăzi secția de artă a Muzeului Județean Satu Mare a fost construită în a doua jumătate a secolului al XIX-lea, în stil neogotic, fiind declarată monument istoric și arhitectural, și cunoscută sub numele de „Casa Vécsey”.","Pe acest teren se afla în secolul al XVIII-lea o clădire ce servea ca depozit al cetății Satu Mare. În această clădire a fost semnată, în anul 1711, Pacea de la Satu Mare, în urma înfrângerii răscoalei lui Francisc Rákóczy al II-lea. În 1911 pe clădire a",http://www.muzeusm.ro,Liviu Marta,"Artă decorativă, Artă plastică",136492,47.791256,22.875763,Muzeu județean,SM-II-m-A-05224,727
Casa Memorială „Aloisie Tăutu”,Valea Vinului,Satu Mare,Valea Vinului nr. 303,1995,"Expoziția cu caracter memorial este organizată în casa în care a trăit Aloisie Tăutu (1895 - 1981), canonic, istoric, consilier ecleziastic la Legația română de la Vatican, autor a numeroase lucrări teologice și istorice.","Expoziția cu caracter memorial este organizată în casa în care a trăit Aloisie Tăutu (1895 - 1981), canonic, istoric, consilier ecleziastic la Legația română de la Vatican, autor a numeroase lucrări teologice și istorice.  The memorial exhibition is orga",,,http://www.muzeusm.ro,Liviu Marta,Memoriale - Personalități istorice,139296,47.718555,23.189431,Muzeu județean,SM-II-m-B-05372,728
Atelier Memorial „Paul Erdös”,Satu Mare,Satu Mare,Pasaj Ștefan Ruba nr. 8,1996,"Obiectiv cultural ce redă locul de creație al graficianului Paul Erdös (1916 - 1987). Atelierul este adăpostit într-o clădire construită în stil eclectic, la începutul secolului al XX-lea, pentru a servi drept sediu Asociației femeilor israelite. Apoi, aici a funcționat un studio foto. După război clădirea a fost folosită ca locuință, iar începând cu anul 1968 a fost atelier de creație al graficianului Paul Erdös, până în anul 1987. Atelierul cuprinde lucrări de grafică, pictură, sculptură, fotografii, obiecte personale, mobilier. Aici se organizează și expoziții temporare.","Prezintă locul de creație al graficianului Paul Erdös (1916 - 1987), a fost donat împreună cu o bogată colecție de grafică. Atelierul cuprinde lucrări de grafică, pictură, sculptură, fotografii, obiecte personale, mobilier. Aici se organizează și expoziț",,,http://www.muzeusm.ro,Liviu Marta,Memoriale - Istoria artei,136492,,,Muzeu județean,SM-IV-m-B-05385,734
Atelier Memorial „Aurel Popp”,Satu Mare,Satu Mare,Str. Aurel Popp nr. 13,2000,"Atelierul se află într-o clădire construită de pictorul sătmărean Aurel Popp (1879 - 1960), între anii 1934 - 1935 și care a funcționat ca atelier de creație până la moartea artistului, în 1960. După această dată, clădirea a fost folosită ca depozit de materiale de construcții. Între 1998 - 2000 clădirea a fost restaurată, după acestă dată aici ființând Atelierul Memorial Aurel Popp, în care sunt expuse lucrări de pictură, sculptură, grafică, fotografii, cărți, documente, obiecte personale, mobilier.","Atelierul se află într-o clădire construită de pictorul sătmărean Aurel Popp (1879 - 1960). Sunt expuse lucrări de pictură, sculptură, grafică, fotografii, cărți, documente, obiecte personale, mobilier.  The studio is housed in a building erected by the",,,http://www.muzeusm.ro,Liviu Marta,Memoriale - Istoria artei,136492,47.788477,22.878713,Muzeu județean,SM-II-m-B-05298,735
Muzeul de Istorie din Sibiu,Sibiu,Sibiu,Str. Mitropoliei nr. 2,1959,"Muzeului de Istorie reprezintă unul dintre cele mai impresionante monumente de arhitectură civilă gotică, cu elemente de Renaștere. Având inițial destinația de locuință, casa Altemberger-Pempflinger (sub forma unui turn-locuință), a fost cumpărată de Primăria orașului în anul 1549. De atunci aici va funcționa Primăria orașului, până în 1923, și Arhiva orașului și a comunității săsești din Transilvania până în 1948. Lucrările de restaurare ale monumentului s-au desfășurat, cu intermitențe, între anii 1967 - 1988. În frontonul portalului de acces în clădire este încastrată o placă de marmură, cu un text care, în limba latină, menționează vizita făcută la Primărie de către împăratul Iosif al II-lea, în vara anului 1773. Adosat clădirii, cu acces la parter și etaj, se găsește un turn care a aparținut incintei a treia de apărare a orașului. Începuturile colecțiilor muzeului aparțin perioadei de sfârșit a secolului al XVIII-lea, numeroase piese făcând parte din proprietatea fondatorului muzeului baronul Samuel von Brukenthal. După cel de-al doilea război mondial prin dizolvarea sau desființarea unor instituții culturale sibiene patrimoniul muzeului s-a îmbogățit considerabil prin transferarea în muzeu a unor colecții existente în oraș (Societatea Carpatina, Camera de arme a orașului Sibiu, o parte a pieselor Muzeului Asociațiunii Astra etc.).  În anul 1959, la Palatul Brukenthal, este deschisă Secția de istorie, într-un spațiu destul de limitat în raport cu valoarea și diversitatea colecțiilor. În anul 1986, după încheierea lucrărilor de restaurare sunt deschise două expoziții, iar în luna mai 1988 este prezentat întregul circuit muzeal, după tematica obligatorie a muzeelor de istorie. În anii 1990 - 1992 tematica a fost complet și fundamental restructurată, insistându-se asupra particularităților istorice ale zonei. Circuitul expozițional permanent cuprinde următoarele colecții: arheologie preistorică și istorie veche - 8.177 piese, colecția de obiecte medievale - 9.669 piese (arheologie medievală - 647 piese, produse de breaslă - 1.690 piese, produse textile - 1.500 piese, obiecte din domeniul științei și tehnicii - 90 piese, arme și armuri - 1.880 piese, decorații și medalii onorifice - 239 piese, produse din sticlă și faianță - 979 piese, sigilii, ștampile, matrițe, medalii și monede - 2.374 piese), colecția Tezaur - 63.435 piese, Fondul de carte și periodice ""Carl Engber"" - 15.410 piese, Colecția de clișee ""Emil Fischer"" - 8.050 piese, Colecția de grafică documentară - 33.252 piese, Colecția de istorie modernă și contemporană - 2.227 piese.","Muzeului de Istorie reprezintă unul dintre cele mai impresionante monumente de arhitectură civilă gotică, cu elemente de Renaștere. Circuitul expozițional permanent cuprinde următoarele colecții: arheologie preistorică și istorie veche, colecția de obiec","Muzeul este adăpostit în cea mai importantă construcție gotică laică din Transilvania, care s-a construit în mai multe etape, de la sfârșitul secolului al XV-lea și până în secolele XVIII - XIX.","Expoziția de istorie a fost deschisă în august 1959 ca secție a Muzeului Brukenthal, la parterul palatului. Din 1988 muzeul funcționează în Turnul Sfatului.",http://www.brukenthalmuseum.ro/,Sabin Adrian Luca,"Arheologie daco-romană, Arheologie medievală, Arheologie preistorică, Istorie, Numismatică",143469,45.796975,24.14959,Muzeu național,SB-II-m-A-12134,538
Muzeul de Istoria Farmaciei,Sibiu,Sibiu,Piața Mică nr. 26,1972,"Clădirea care adăpostește muzeul este monument istoric, datat 1568, prezentând numeroase elemente arhitecturale specifice perioadei: spații boltite la subsol și parter, o loggie deschisă la parter, decorată în stucatură la plafoane și tâmplărie de epocă. Muzeul ocupă în prezent spațiul de la subsolul imobilului (în suprafață de 120 mp), actualmente în proprietatea directă a instituției. Acest spațiu a avut funcționalitate farmaceutică de la 1600, fără întrerupere, aici funcționând una dintre cele mai vestite farmacii transilvănene denumită La Ursul Negru.  Colecția inițială a muzeului a fost constituită în anii 1950 - 1951, ca urmare a unui decret al Ministerului Sănătății privind concentrarea la Muzeul Brukenthal, a tuturor vestigiilor de istorie a farmaciei de la toate instituțiile de profil din țară. Obiectele existente provin de la peste 70 de farmacii vechi, oficii farmaceutice, instituții medicale și persoane particulare din 32 de localități din țară. Colecția a stat în regim de depozitare timp de 20 de ani. Prin mărimea și diversitatea sa (cca. 6.700 piese), colecția aduce valoroase mărturii despre evoluția științei și tehnicii farmaceutice, în general, și despre evoluția medicației și practicii farmaceutice la nivelul a peste trei secole. Ea cuprinde preparate medicamentoase, ustensile de laborator, recipiente, cărți și documente, grafică documentară. O componentă distinctă o reprezintă inventarul homeopatic (2.910 piese), raritate europeană, ilustrând interesul de care s-a bucurat această doctrină terapeutică la Sibiu, orașul în care a trăit și activat Samuel Hahnemann, fondatorul homeopatiei.","Colecția cuprinde un număr de circa 6.650 piese, din următoarele categorii: instrumentar și aparatură farmaceutică, cărți, documente, însemne, instrumente și accesorii medicale și preparate homeopatice. , The collection comprises drugs, laboratory utensi","Clădirea datează din 1568. A fost restaurată între anii 1968 - 1972. Înainte de înființarea muzeului (1972), aici a funcționat una din cele mai vechi farmacii din oraș, înființată în jurul anului 1600.","Muzeul de Istorie a Farmaciei a fost înființat în 1972, folosindu-se colecții adunate din toată țara.",http://www.brukenthalmuseum.ro/,Sabin Adrian Luca,Istoria farmaciei,143469,45.798354,24.152008,Muzeu național,SB-II-m-A-12128,543
Muzeul de Vânătoare „August von Spiess”,Sibiu,Sibiu,Str. Școala de Înot nr. 4,1966,"Clădirea muzeului a fost construită pe la începutul secolului XX, cu destinația de locuință, de către colonelul August von Spiess, fost maestru de vânătoare al Curții Regale a României. În 1975, după plecarea definitivă în Germania a succesorilor proprietarului, a fost trecută în proprietatea statului român, iar în 1976 în administrarea Muzeului Brukenthal. Primul nucleu al colecțiilor muzeale l-a constituit colecția cinegetică a Societății Ardelene pentru Științe Naturale din Sibiu. La aceasta s-au adăugat ulterior colecția Witting și colecția Spiess (peste 1000 de bunuri), precum și obiecte specifice de proveniență diversă. Patrimoniul cinegetic al muzeului cuprinde: vânat cu păr - 1202 piese, vânat cu pene - 150 piese, materiale complementare (arme, instrumente și accesorii de vânătoare). Cea mai mare parte a trofeelor a fost recoltată în perioada interbelică, dar există și piese recoltate la sfârșitul secolului al XIX-lea. Ele provin din Carpații României, iar multe dintre acestea au fost medaliate la expoziții și concursuri naționale și internaționale. Colecția mai cuprinde și trofee exotice, precum și arme africane de vânătoare care constituie un punct de atracție aparte al muzeului.  ÎLa ora actuală patrimoniul muzeal numără cca. 1.600 piese, unele cu o vechime de peste 100 de ani, achiziționate de la colecționari sau provenite din donații acumulate începând cu sfârșitul secolului al XIX-lea.","Patrimoniul cinegetic al muzeului cuprinde arme și trofee de vânătoare (colecția August von Spiess): vânat cu păr, vânat cu pene, materiale complementare (arme, capacane și accesorii de vânătoare). Cea mai mare parte a trofeelor a fost recoltată în perio","Clădirea muzeului a fost construită la sfârșitul secolului al XIX- lea, fiind locuința colonelului August von Spiess, fost maestru de vânătoare al Curții Regale.","În 1963 a fost achiziționată colecția „Spiess”, însumând 1058 piese. Pe baza acesteia și a colecției de profil a Societății ardelene de științele naturii a fost organizat, în 1966, muzeul de vânătoare. Muzeul a fost reorganizat în 1981.",,Sabin Adrian Luca,Științele naturii - Zoologie,143469,45.786625,24.1469,Muzeu național,,545
Complexul Național Muzeal „ASTRA”,Sibiu,Sibiu,Piața Mică nr. 11 - 12,1963,"Muzeul ASTRA, cea mai importantă instituție fondată de Asociațiunea Transilvană pentru Literatura Română și Cultura Poporului Român, a fost inaugurat în 19 august 1905. El s-a născut din dorința românilor ardeleni de a-și defini propria identitate etnoculturală, în conglomeratul etnic al Imperiul Austro-ungar, pe fondul emancipării culturale a tuturor popoarelor din centrul și sud-estul Europei, având ca model muzeele deja constituite ale sașilor, ungurilor și secuilor. În perioada de după Marea Unire (1918-1919), muzeul a cunoscut o dezvoltare impetuoasă devenind, după Muzeul Brukenthal, cel mai valoros și important muzeu al Ardealului. Un muzeu în aer liber a fost gândit, la Sibiu, încă din anul 1940 (meritul fiind a lui R. Vuia, director al Muzeului Etnografic al Transilvania), dar proiectul său efemer a devenit o realitate abia în 1963, din inițiativa lui Cornel Irimie, cel care avea să fie întâiul său director. După atribuirea terenului necesar pentru organizarea expoziției muzeului s-a trecut la realizarea propriu-zisă. Astfel, specialiștii Secției de etnografie și artă populară din cadrul Complexului Muzeal Brukenthal au întocmit Proiectul tematic și de organizare a Muzeului în aer liber și au stabilit etapele ulterioare de dezvoltare ale acestuia. Planul tematic și de organizare a secției etnografice în aer liber din Dumbrava Sibiului a fost pus în discuție, în decembrie 1961. La ședința de lucru s-au dezbătut planul tematic și profilul muzeului care avea să se numească Muzeul Tehnicii Populare și care avea să cuprindă patru sectoare tematice, fiecare fiind, la rândul lor, împărțite în numeroase subgrupe tematice ale lemnului, lutului, metalelor, industriei textile, a vânătorii, pescuitului, agriculturii, pomiculturii, prelucrării minereurilor etc. La 6 mai 1962, Prezidiul Academiei Române a vizat favorabil tematica viitorului muzeu. Acesta urma să reprezinte ocupații, meșteșuguri și „instalații tehnice populare” de pe întreg teritoriul țării, grupate pe diversitatea proceselor tradiționale, pe genuri și tipologii. Începând cu anul 1963, cercetarea științifică întreprinsă de specialiștii muzeului s-a desfășurat prin expediții pentru depistarea în teren a monumentelor etnografice cu valoare documentar-istorică sau tehnică ce urmau a fi transferate în Dumbrava Sibiului. S-au identificat: joagărul din Gura Râului (Sibiu), moara din Dăbâca (Hunedoara), uleinița de la Orăștioara (Hunedoara) și piua din Rod (Sibiu). Tot în anul 1963 s-au achiziționat primele nouă monumente: moara plutitoare din Lucăcești, piua cu teasc de la Orăștioara, joagărul hidraulic de la Gura Râului, piua de la Tălmăcel, moara de mână de la Bumbuiești, teascul cu berbeci de la Racovița, podul plutitor de la Porcești (Turnul Roșu). În perioada 1963-1964 a fost reconstituit primul monument transferat în muzeu: moara cu aducție inferioară (Dăbâca) din ținutul Pădurenilor Hunedoarei, un monument datat 1848, de mare valoare etnografică. În anii următori au mai fost reconstruite: teascului de boștină din Sebeș, moara de la Munteni, joagărul cu roată mică de la Gura Râului, piua cu vâltoare de la Rod, uleinița din Grind (în anul 1964), moara cu ciutură de la Arcani, teascul din Racovița, casa podarului și moara plutitoare din Lucăcești (în anul 1965). La 17 octombrie 1967 Muzeul Tehnicii Populare a fost inaugurat oficial pentru publicul larg. Între anii 1980-2000 tematica muzeului a fost extinsă prin integrarea monumentelor de arhitectură populară, acestea egalând, prin numărul exponatelor, monumentele de tehnică populară existente până atunci, muzeu devenind mai complex și acoperind întreg domeniul civilizației populare tradiționale. În 17 februarie 1990 Primăria Municipiului Sibiu a adoptat decizia înființării Muzeului Civilizației Populare Tradiționale din România, ca instituție de sine stătătoare, cu personalitate juridică proprie, prin desprinderea din cadrul Complexului Muzeal Brukenthal. La 2 septembrie, același an, se primea acordul Ministerului Culturii și al Asociațiunii ASTRA, pentru atribuirea muzeului etnografic sibian, a cognomenului ASTRA, noua denumire fiind Muzeul Civilizației Populare Tradiționale ASTRA. În anul 2001, s-a organizat Complexul Național Muzeal ASTRA, prin diversificarea secțiilor, tratând, distinct, specificul culturii populare românești, săsești și a celei a rromilor (în fază de proiect), în cadrul Muzeului Civilizației Tradiționale Populare ASTRA, Muzeului Civilizației Transilvane ASTRA, Muzeului de Etnografie și Artă Populară Săsească „Emil Sigerus”, Muzeului Culturii și Civilizației Rromilor (proiect), iar a popoarelor extraeuropene în cadrul Muzeului de Etnografie Universală „Franz Binder”. Un rol important îl au noile sectoare create în premieră la Sibiu: Centrul de Informare și Documentare în Etnologie „Cornel Irimie”, Departamentul de Restaurare-Conservare, Studioul ASTRA-Film, Departamentul de Marketing, Editura „ASTRA Museum”. Succesele obținute de Complexul Național Muzeal ASTRA, datorate proiectelor și manifestărilor culturale pe care le-a organizat au fost răsplătite, de-a lungul timpului, cu numeroase premii naționale și internaționale.","În prezent, complexul muzeal cuprinde mai multe muzee. Muzeul Civilizației Populare Tradiționale ASTRA, ce se întinde pe o suprafață de 96 ha și are două expoziții permanente: Muzeul etnografic în aer liber și Expoziția de sculptura modernă în lemn. Muze",,,http://www.muzeulastra.ro; http://www.muzeulastra.com,Valeriu Ion Olaru,"Etnografie, Etnografie - Arhitectură populară, Etnografie străină",143469,45.797619,24.150977,Muzeu județean,SB-II-m-B-12114,551
